stationid,lat,lon,name,state,elevation,distance,rating
401430174,35.9525,-96.00305,"Warrior Road, Glenpool, Tulsa County, Oklahoma, 74033, United States",Oklahoma,216.49,690,0.9248713550600343
410010004,44.78806,-117.84444,"3122, G Street, Baker City, Baker County, Oregon, 97814, United States",Oregon,1043.1,449,0.9180102915951973
410030013,44.588330000000006,-123.26722,"Fire Station #3, 1310, Northwest Circle Boulevard, Corvallis, Benton County, Oregon, 97330, United States",Oregon,71.06,59,0.9245283018867925
410050004,45.259170000000005,-122.58806,"South Spangler Road, Clackamas County, Oregon, 97042, United States",Oregon,172.33,104,0.9238421955403088
410090004,45.768330000000006,-122.77194,"Reeder Road, Columbia County, Oregon, United States",Oregon,6.26,72,0.9214408233276158
410130100,44.29972,-120.84472,"Davidson Field, Southeast Court Street, Prineville, Crook County, Oregon, 97754, United States",Oregon,874.05,255,0.9214408233276158
410170004,44.29194,-121.55527,"McKenzie Highway, Sisters, Deschutes County, Oregon, 97759, United States",Oregon,973.49,198,0.9228130360205832
410190002,43.22639,-123.36472,"Bureau of Land Management Roseburg District Office, Northwest Garden Valley Boulevard, Roseburg, Douglas County, Oregon, 97471, United States",Oregon,144.47,69,0.9231560891938251
410250003,43.58917,-119.04806,"578, East Washington Street, Burns, Harney County, Oregon, 97720, United States",Oregon,1266.78,410,0.9166380789022298
410290019,42.62306,-122.81000000000002,"Ponderosa Street, Shady Cove, Jackson County, Oregon, 97539, United States",Oregon,432.15,130,0.9228130360205832
410290203,42.19389,-122.70834,"Ashland Railroad Addition Historic District, Enders Alley, Ashland, Jackson County, Oregon, 97520, United States",Oregon,595.75,126,0.9231560891938251
410310007,44.63056,-121.13139,"Westside Elementary School, 4th Street, Madras, Jefferson County, Oregon, 97741, United States",Oregon,688.65,228,0.9238421955403088
410330036,42.16167,-123.64833000000002,"Wild Rivers Ranger Station, Redwood Highway, Cave Junction, Josephine County, Oregon, 97523, United States",Oregon,409.58,50,0.9234991423670669
410330114,42.433890000000005,-123.34834,"Parkside Elementary, Southwest Wagner Meadows Drive, Grants Pass, Josephine County, Oregon, 97527, United States",Oregon,277.23,86,0.9183533447684391
410350004,42.19028,-121.73111000000002,"Peterson Elementary School, Clinton Avenue, Altamont, Klamath County, Oregon, 97603, United States",Oregon,1252.76,207,0.9214408233276158
410370001,42.18917,-120.35389,"1267, Center Street, Lakeview, Lake County, Oregon, 97630, United States",Oregon,1448.46,318,0.9204116638078902
410390059,44.067220000000006,-123.14111,"Advance Auto Parts, Highway 99 North, Bethel, Eugene, Lane County, Oregon, 97402, United States",Oregon,122.69,79,0.9248713550600343
